person|date_of_birth|date_of_death|wiki_page
Adolfo Hohenstein|1854-03-18|1928-04-13|https://en.wikipedia.org/wiki/Adolfo_Hohenstein
Otto Wagner|1841-07-13|1918-04-11|https://en.wikipedia.org/wiki/Otto_Wagner
Hede von Trapp|1877-11-18|1947-12-29|https://en.wikipedia.org/wiki/Hede_von_Trapp
Charles l'Eplattenier|1874-10-09|1946-06-07|https://en.wikipedia.org/wiki/Charles_L%27%C3%89plattenier
Ludwig Fahrenkrog|1867-10-20|1952-10-27|https://en.wikipedia.org/wiki/Ludwig_Fahrenkrog
Ștefan Luchian|1868-02-13|1916-06-28|https://en.wikipedia.org/wiki/%C8%98tefan_Luchian
Elsa von Freytag-Loringhoven|1874-07-12|1927-12-15|https://en.wikipedia.org/wiki/Elsa_von_Freytag-Loringhoven
Marian Lalewicz|1876-11-21|1944-08-21|https://en.wikipedia.org/wiki/Marian_Lalewicz
René Lalique|1860-04-06|1945-05-01|https://en.wikipedia.org/wiki/Ren%C3%A9_Lalique
Mikhail Eisenstein|1867-09-17|1920-07-01|https://en.wikipedia.org/wiki/Mikhail_Eisenstein
Armando Reverón|1889-05-10|1954-09-18|https://en.wikipedia.org/wiki/Armando_Rever%C3%B3n
Fyodor Lidval|1870-06-01|1945-03-14|https://en.wikipedia.org/wiki/Fyodor_Lidval
Eižens Laube|1880-05-25|1967-07-21|https://en.wikipedia.org/wiki/Ei%C5%BEens_Laube
Maurice Bouval|1863-03-09|1916-03-20|https://en.wikipedia.org/wiki/Maurice_Bouval
Gustave Strauven|1878-06-24|1919-03-19|https://en.wikipedia.org/wiki/Gustave_Strauven
Octave Van Rysselberghe|1855-07-22|1929-03-30|https://en.wikipedia.org/wiki/Octave_van_Rysselberghe
Louis Majorelle|1859-09-26|1926-01-15|https://en.wikipedia.org/wiki/Louis_Majorelle
Ernest Blerot|1870-02-21|1957-01-19|https://en.wikipedia.org/wiki/Ernest_Blerot
Émile Joseph Nestor Carlier|1849-01-03|1927-04-11|https://en.wikipedia.org/wiki/Joseph_Carlier
Fyodor Buchholz|1857-06-09|1942-05-07|https://en.wikipedia.org/wiki/Fyodor_Buchholz
Apcar Baltazar|1880-02-26|1909-09-26|https://en.wikipedia.org/wiki/Apcar_Baltazar
Camille Alaphilippe|1874-08-13|1950-01-01|https://en.wikipedia.org/wiki/Camille_Alaphilippe
Charles Catteau|1880-01-26|1966-10-20|https://en.wikipedia.org/wiki/Charles_Catteau
Kay Nielsen|1886-03-12|1957-06-23|https://en.wikipedia.org/wiki/Kay_Nielsen
Henri Vever|1854-10-16|1942-09-23|https://en.wikipedia.org/wiki/Henri_Vever
Ion Theodorescu-Sion|1882-01-02|1939-03-31|https://en.wikipedia.org/wiki/Ion_Theodorescu-Sion
Jules Lavirotte|1864-03-25|1929-03-01|https://en.wikipedia.org/wiki/Jules_Lavirotte
Margaret MacDonald|1864-11-05|1933-01-07|https://en.wikipedia.org/wiki/Margaret_Macdonald_Mackintosh
Eugène Grasset|1845-05-25|1917-10-23|https://en.wikipedia.org/wiki/Eug%C3%A8ne_Grasset
Paul Saintenoy|1862-06-19|1952-07-18|https://en.wikipedia.org/wiki/Paul_Saintenoy
Jules Chéret|1836-06-01|1932-09-23|https://en.wikipedia.org/wiki/Jules_Ch%C3%A9ret
Carl Moll|1861-04-23|1945-04-13|https://en.wikipedia.org/wiki/Carl_Moll
Théophile Steinlen|1859-11-20|1923-12-13|https://en.wikipedia.org/wiki/Th%C3%A9ophile_Steinlen
Gustave Serrurier-Bovy|1858-07-27|1910-11-19|https://en.wikipedia.org/wiki/Gustave_Serrurier-Bovy
Rafael Masó i Valentí|1880-08-16|1935-07-13|https://en.wikipedia.org/wiki/Rafael_Mas%C3%B3_i_Valent%C3%AD
Josep Maria Jujol|1879-09-16|1949-05-01|https://en.wikipedia.org/wiki/Josep_Maria_Jujol
Mario Sarto|1885-10-13|1955-09-13|https://en.wikipedia.org/wiki/Mario_Sarto
Carl Schmidt|1866-12-21|1945-08-08|https://en.wikipedia.org/wiki/Carl_Schmidt_(architect)
Paul Hankar|1859-12-11|1901-01-17|https://en.wikipedia.org/wiki/Paul_Hankar
Giannino Castiglioni|1884-05-04|1971-08-27|https://en.wikipedia.org/wiki/Giannino_Castiglioni
Frank DuMond|1865-08-20|1951-02-06|https://en.wikipedia.org/wiki/Frank_DuMond
Alphonse Mucha|1860-07-24|1939-07-14|https://en.wikipedia.org/wiki/Alphonse_Mucha
Henry van de Velde|1863-04-03|1957-10-25|https://en.wikipedia.org/wiki/Henry_van_de_Velde
Franz von Bayros|1866-05-28|1924-04-03|https://en.wikipedia.org/wiki/Franz_von_Bayros
Gustav Klimt|1862-07-14|1918-02-06|https://en.wikipedia.org/wiki/Gustav_Klimt
Vasily Kosyakov|1862-08-05|1921-09-05|https://en.wikipedia.org/wiki/Vasily_Kosyakov
Édouard Colonna|1862-05-11|1948-10-14|https://en.wikipedia.org/wiki/Edward_Colonna
Adelina Zandrino|1893-09-19|1994-01-01|https://en.wikipedia.org/wiki/Adelina_Zandrino
Giorgio Ceragioli|1861-04-28|1947-12-11|https://en.wikipedia.org/wiki/Giorgio_Ceragioli_(sculptor)
Gojmir Anton Kos|1896-01-24|1970-05-22|https://en.wikipedia.org/wiki/Gojmir_Anton_Kos
Alexei Beketov|1862-03-03|1941-11-23|https://en.wikipedia.org/wiki/Alexei_Beketov
Leonid Brailovsky|1867-06-04|1937-07-07|https://en.wikipedia.org/wiki/Leonid_Brailovsky
Nikolai Vasilyevich Vasilyev|1875-12-08|1958-10-16|https://en.wikipedia.org/wiki/Nikolai_Vasilyevich_Vasilyev
Ferdinand Hodler|1853-03-14|1918-05-19|https://en.wikipedia.org/wiki/Ferdinand_Hodler
Edmund von Hellmer|1850-12-12|1935-03-09|https://en.wikipedia.org/wiki/Edmund_von_Hellmer
Oskar Zwintscher|1870-05-02|1916-02-12|https://en.wikipedia.org/wiki/Oskar_Zwintscher
Émile Gallé|1846-05-04|1904-09-23|https://en.wikipedia.org/wiki/%C3%89mile_Gall%C3%A9
Józef Mehoffer|1869-03-19|1946-07-08|https://en.wikipedia.org/wiki/J%C3%B3zef_Mehoffer
Ernesto Basile|1857-01-31|1932-08-26|https://en.wikipedia.org/wiki/Ernesto_Basile
Will H. Bradley|1868-07-10|1962-01-25|https://en.wikipedia.org/wiki/Will_H._Bradley
Ivan Fomin|1872-02-03|1936-06-12|https://en.wikipedia.org/wiki/Ivan_Fomin
Franz Iffland|1862-01-01|1935-01-01|https://en.wikipedia.org/wiki/Franz_Iffland
Imre Földes|1881-05-31|1948-01-01|https://en.wikipedia.org/wiki/Imre_F%C3%B6ldes
John White Alexander|1856-10-07|1915-05-31|https://en.wikipedia.org/wiki/John_White_Alexander
Josef Goller|1868-01-25|1947-05-29|https://en.wikipedia.org/wiki/Josef_Goller
Konstantīns Pēkšēns|1859-03-08|1928-06-23|https://en.wikipedia.org/wiki/Konstant%C4%ABns_P%C4%93k%C5%A1%C4%93ns
Giuseppe Amisani|1881-12-07|1941-09-08|https://en.wikipedia.org/wiki/Giuseppe_Amisani
Jules Brunfaut|1852-11-16|1942-01-04|https://en.wikipedia.org/wiki/Jules_Brunfaut
Georges de Feure|1868-09-06|1943-11-26|https://en.wikipedia.org/wiki/Georges_de_Feure
Marcello Dudovich|1878-03-21|1962-03-31|https://en.wikipedia.org/wiki/Marcello_Dudovich
Othmar Schimkowitz|1864-10-02|1947-04-24|https://en.wikipedia.org/wiki/Othmar_Schimkowitz
Jessie M. King|1875-03-20|1949-08-03|https://en.wikipedia.org/wiki/Jessie_M._King
Paul Berthon|1872-03-15|1934-02-27|https://en.wikipedia.org/wiki/Paul_Berthon
Hans Unger|1872-08-26|1936-08-13|https://en.wikipedia.org/wiki/Hans_Unger
Harvey Wiley Corbett|1873-01-08|1954-04-21|https://en.wikipedia.org/wiki/Harvey_Wiley_Corbett
Jessie Newbery|1864-05-28|1948-04-27|https://en.wikipedia.org/wiki/Jessie_Newbery
Keith Murray|1892-07-05|1981-05-16|https://en.wikipedia.org/wiki/Keith_Murray_(ceramic_artist)
Peder Moos|1906-01-27|1991-04-01|https://en.wikipedia.org/wiki/Peder_Moos
Ignat Bednarik|1882-03-08|1963-03-11|https://en.wikipedia.org/wiki/Ignat_Bednarik
Vítězslav Karel Mašek|1865-09-01|1927-07-24|https://en.wikipedia.org/wiki/Karel_V%C3%ADt%C4%9Bzslav_Ma%C5%A1ek
Georg Jensen|1866-08-31|1935-10-02|https://en.wikipedia.org/wiki/Georg_Jensen
Mikalojus Konstantinas Čiurlionis|1875-09-22|1911-04-10|https://en.wikipedia.org/wiki/Mikalojus_Konstantinas_%C4%8Ciurlionis
Eliel Saarinen|1873-08-20|1950-07-01|https://en.wikipedia.org/wiki/Eliel_Saarinen
Stanisław Wyspiański|1869-01-15|1907-11-28|https://en.wikipedia.org/wiki/Stanis%C5%82aw_Wyspia%C5%84ski
Louis Comfort Tiffany|1848-02-18|1933-01-17|https://en.wikipedia.org/wiki/Louis_Comfort_Tiffany
Hector Guimard|1867-03-10|1942-05-20|https://en.wikipedia.org/wiki/Hector_Guimard
Emmanuel Villanis|1858-12-12|1914-08-28|https://en.wikipedia.org/wiki/Emmanuel_Villanis
Gunnar Ekelöf|1907-09-15|1968-03-16|https://en.wikipedia.org/wiki/Gunnar_Ekel%C3%B6f
Frederic Storck|1872-01-19|1942-12-26|https://en.wikipedia.org/wiki/Frederic_Storck
Alexey Shchusev|1873-10-08|1949-05-24|https://en.wikipedia.org/wiki/Alexey_Shchusev
Agathon Léonard|1841-08-28|1923-11-12|https://en.wikipedia.org/wiki/Agathon_L%C3%A9onard
Lev Kekushev|1862-02-19|1917-01-01|https://en.wikipedia.org/wiki/Lev_Kekushev
Ivan Kuznetsov|1867-05-27|1942-06-03|https://en.wikipedia.org/wiki/Ivan_Kuznetsov_(architect)
Paul Mandelstamm|1870-09-06|1941-01-01|https://en.wikipedia.org/wiki/Paul_Mandelstamm
Ivan Mashkov|1867-01-13|1945-08-13|https://en.wikipedia.org/wiki/Ivan_Mashkov
Hannah Frank|1908-08-23|2008-12-18|https://en.wikipedia.org/wiki/Hannah_Frank
Maria Yakunchikova|1870-01-31|1902-12-27|https://en.wikipedia.org/wiki/Maria_Yakunchikova
Adelaide Alsop Robineau|1865-04-09|1929-02-18|https://en.wikipedia.org/wiki/Adelaide_Alsop_Robineau
Adrià Gual|1872-12-08|1943-12-21|https://en.wikipedia.org/wiki/Adri%C3%A0_Gual
Alexandre de Riquer|1856-05-03|1920-11-13|https://en.wikipedia.org/wiki/Alexandre_de_Riquer
Amelia Bauerle|1873-11-12|1916-03-04|https://en.wikipedia.org/wiki/Amelia_Bauerle
Clara Weaver Parrish|1861-03-16|1925-11-11|https://en.wikipedia.org/wiki/Clara_Weaver_Parrish
Edmond Lachenal|1855-06-03|1948-06-10|https://en.wikipedia.org/wiki/Edmond_Lachenal
Elenore Abbott|1875-01-01|1935-01-01|https://en.wikipedia.org/wiki/Elenore_Abbott
Julien Caussé|1869-01-27|http://www.wikidata.org/.well-known/genid/49097d9ed2bbc43f93d045f716db70e1|https://en.wikipedia.org/wiki/Julien_Causs%C3%A9
Willy Pogany|1882-08-24|1955-07-30|https://en.wikipedia.org/wiki/Willy_Pogany
Frida Hansen|1855-03-08|1931-03-12|https://en.wikipedia.org/wiki/Frida_Hansen
Octavian Smigelschi|1866-03-21|1912-11-10|https://en.wikipedia.org/wiki/Octavian_Smigelschi
Maurice Biais|1872-12-30|1926-04-08|https://en.wikipedia.org/wiki/Maurice_Biais
Bernhard Bielenstein|1877-08-21|1959-04-14|https://en.wikipedia.org/wiki/Bernhard_Bielenstein
Stanislaŭ Šabunieŭski|1868-12-02|1937-01-01|https://en.wikipedia.org/wiki/Stanisla%C5%AD_%C5%A0abunie%C5%ADski
Gustav Hahn|1866-07-27|1962-12-01|https://en.wikipedia.org/wiki/Gustav_Hahn
Marie-Antoinette Demagnez|1869-01-01|1925-01-01|https://en.wikipedia.org/wiki/Marie-Antoinette_Demagnez
Paul Philippe|1870-01-01|1930-01-01|https://en.wikipedia.org/wiki/Paul_Philippe
Bruno Zach|1891-05-06|1945-02-20|https://en.wikipedia.org/wiki/Bruno_Zach
Sam Schellink|1876-08-01|1958-12-20|https://en.wikipedia.org/wiki/Samuel_Schellink
Augusts Malvess|1878-11-02|1951-05-09|https://en.wikipedia.org/wiki/Augusts_Malvess
Nori Malo-Renault|1871-01-20|1953-01-29|https://en.wikipedia.org/wiki/Nori_Malo-Renault
Bernhard Borchert|1863-12-01|1945-12-31|https://en.wikipedia.org/wiki/Bernhard_Borchert
Aleksandrs Vanags|1873-03-05|1919-03-19|https://en.wikipedia.org/wiki/Aleksandrs_Vanags_(architect)
Anne Anderson|1874-01-01|1952-05-26|https://en.wikipedia.org/wiki/Anne_Anderson_(illustrator)
Victor Horta|1861-01-06|1947-09-08|https://en.wikipedia.org/wiki/Victor_Horta
